Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-07-12T07:36:33.286Z,,,Included,auto,No,31592,6,113234,1648,146480,Included
2026-07-12T07:37:23.303Z,,,Included,auto,No,0,30339,2488,241,33068,Included
2026-07-12T07:38:19.057Z,,,Included,auto,No,0,8669,110883,529,120081,Included
2026-07-12T07:43:20.348Z,,,Included,auto,No,0,152,41492,137,41781,Included
2026-07-12T07:47:47.441Z,,,Included,auto,No,0,1624,41643,140,43407,Included
2026-07-12T07:49:11.971Z,,,Included,auto,No,0,6286,220833,6151,233270,Included
2026-07-12T07:51:00.945Z,,,Included,auto,No,0,1,48086,3843,51930,Included
2026-07-12T07:52:21.828Z,,,Included,auto,No,0,9529,481138,6484,497151,Included
2026-07-12T07:58:45.346Z,,,Included,auto,No,19195,4,67205,1170,87574,Included
2026-07-12T07:59:22.465Z,,,Included,composer-2.5-fast,No,0,18450,77183,810,96443,Included
2026-07-12T08:00:26.922Z,,,Included,composer-2.5-fast,No,0,7581,84005,522,92108,Included
2026-07-12T08:01:39.696Z,,,Included,composer-2.5-fast,No,0,1551,31970,139,33660,Included
2026-07-12T08:03:13.449Z,,,Included,composer-2.5-fast,No,0,33970,81460,594,116024,Included
2026-07-12T08:04:57.978Z,,,Included,composer-2.5-fast,No,0,1221,81139,1748,84108,Included
2026-07-12T08:08:35.168Z,,,Included,composer-2.5-fast,No,0,1632,41570,1098,44300,Included
2026-07-12T08:23:53.467Z,,,Included,composer-2.5-fast,No,0,39111,50840,318,90269,Included
2026-07-12T08:30:16.775Z,,,Included,composer-2.5-fast,No,0,37298,55434,798,93530,Included
2026-07-12T08:30:45.936Z,,,Included,composer-2.5-fast,No,0,6816,145854,3135,155805,Included
2026-07-12T08:31:36.561Z,,,Included,composer-2.5-fast,No,0,1261,162488,1261,165010,Included
2026-07-12T08:32:02.826Z,,,Included,composer-2.5-fast,No,0,1840,333480,1077,336397,Included
2026-07-12T08:36:30.753Z,,,Included,composer-2.5-fast,No,0,1885,113824,612,116321,Included
2026-07-12T08:36:41.764Z,,,Included,composer-2.5-fast,No,0,737,176108,661,177506,Included
2026-07-12T08:38:04.407Z,,,Included,composer-2.5-fast,No,0,412,59278,359,60049,Included
2026-07-12T08:38:31.939Z,,,Included,composer-2.5-fast,No,0,506,119378,813,120697,Included
2026-07-12T08:38:52.253Z,,,Included,composer-2.5-fast,No,0,141,60053,651,60845,Included
2026-07-12T08:40:19.646Z,,,Included,grok-4.5-fast-xhigh,No,0,28656,57984,1739,88379,Included
2026-07-12T08:40:48.750Z,,,Included,grok-4.5-fast-xhigh,No,0,928,76160,2472,79560,Included
2026-07-12T08:41:17.879Z,,,Included,grok-4.5-fast-xhigh,No,0,3193,79872,2812,85877,Included
2026-07-12T08:45:02.035Z,,,Included,grok-4.5-fast-xhigh,No,0,4298,89600,765,94663,Included
2026-07-12T08:47:02.947Z,,,Included,grok-4.5-fast-xhigh,No,0,631,32640,234,33505,Included
